microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,homicides_start,population_start,rate_start_per_100k,homicides_end,population_end,rate_end_per_100k,delta_rate_per_100k,rate_average_2015_2017_per_100k,rate_average_2022_2024_per_100k,delta_average_rate_per_100k,visual_scale_limit,visual_value_clipped,visually_clipped
42003,Xanxerê,SC,Sul,2016,2024,26,161242.0,16.12483099936741,16,173725.0,9.209958267376601,-6.91487273199081,16.12503100967502,14.264094830828812,-1.8609361788462078,45.0,-6.91487273199081,0
42004,Joaçaba,SC,Sul,2016,2024,33,346353.0,9.52785164268824,33,356935.0,9.24538081163237,-0.28247083105587123,9.239333382096481,10.053372977766397,0.8140395956699162,45.0,-0.28247083105587123,0
42005,Concórdia,SC,Sul,2016,2024,11,146847.0,7.490789733532179,9,165710.0,5.431174944179591,-2.0596147893525885,7.263845570643168,5.128915285706226,-2.1349302849369423,45.0,-2.0596147893525885,0
42006,Canoinhas,SC,Sul,2016,2024,26,254609.0,10.211736427227631,26,257551.0,10.095087963160694,-0.11664846406693741,10.211830012306564,12.455030783591873,2.2432007712853093,45.0,-0.11664846406693741,0
42007,São Bento do Sul,SC,Sul,2016,2024,9,135712.0,6.631690639000236,6,139834.0,4.29080195088462,-2.3408886881156157,8.596868283696653,6.5484787520054715,-2.048389531691181,45.0,-2.3408886881156157,0
42008,Joinville,SC,Sul,2016,2024,213,959345.0,22.202648682173773,81,1131955.0,7.155761492285471,-15.046887189888302,20.1188506333442,8.514661410687816,-11.604189222656382,45.0,-15.046887189888302,0
42009,Curitibanos,SC,Sul,2016,2024,21,127994.0,16.407019079019328,12,133578.0,8.983515249517136,-7.423503829502192,14.844561811974092,12.420596898399518,-2.423964913574574,45.0,-7.423503829502192,0
42010,Campos de Lages,SC,Sul,2016,2024,42,287951.0,14.58581494768207,34,302898.0,11.22490079168565,-3.3609141559964204,12.965183850937429,11.176755924239478,-1.7884279266979508,45.0,-3.3609141559964204,0
42011,Rio do Sul,SC,Sul,2016,2024,10,222223.0,4.499984250055125,17,250060.0,6.79836839158602,2.298384141530895,4.5000922518911635,5.7233613301091735,1.22326907821801,45.0,2.298384141530895,0
42012,Blumenau,SC,Sul,2016,2024,57,770178.0,7.400886548304418,42,872583.0,4.813295697945066,-2.5875908503593514,7.704226937093688,4.7135488014329185,-2.9906781356607697,45.0,-2.5875908503593514,0
42013,Itajaí,SC,Sul,2016,2024,148,685117.0,21.60214970581667,107,924351.0,11.575689321480693,-10.026460384335978,22.820085762650674,10.338021344066831,-12.482064418583843,45.0,-10.026460384335978,0
42014,Ituporanga,SC,Sul,2016,2024,6,59470.0,10.089120564990752,6,65195.0,9.203159751514686,-0.8859608134760659,11.21057381322063,10.435091124433244,-0.7754826887873865,45.0,-0.8859608134760659,0
42015,Tijucas,SC,Sul,2016,2024,15,107302.0,13.979236174535423,14,131183.0,10.672114527034752,-3.3071216475006704,16.15478771987598,9.977209952004369,-6.177577767871611,45.0,-3.3071216475006704,0
42016,Florianópolis,SC,Sul,2016,2024,157,998096.0,15.729949824465782,108,1268982.0,8.51075901785841,-7.219190806607372,18.03522279010908,8.421524271364406,-9.613698518744675,45.0,-7.219190806607372,0
42017,Tabuleiro,SC,Sul,2016,2024,2,25144.0,7.954183900731785,2,28091.0,7.119718059164857,-0.8344658415669279,7.954500258521258,4.836788614199603,-3.1177116443216555,45.0,-0.8344658415669279,0
42018,Tubarão,SC,Sul,2016,2024,37,404558.0,9.145783793671118,23,456220.0,5.041427381526456,-4.104356412144662,9.47561142412672,5.5345516826158985,-3.9410597415108217,45.0,-4.104356412144662,0
42019,Criciúma,SC,Sul,2016,2024,55,403016.0,13.647100859519226,28,444035.0,6.305809226750144,-7.341291632769082,15.797997376374466,6.611224629425484,-9.186772746948982,45.0,-7.341291632769082,0
42020,Araranguá,SC,Sul,2016,2024,22,196684.0,11.185454841268227,27,234389.0,11.519311913101724,0.33385707183349744,11.355239341328327,10.22111931477616,-1.134120026552166,45.0,0.33385707183349744,0
43001,Santa Rosa,RS,Sul,2016,2024,11,161787.0,6.799062965504027,24,167789.0,14.30367902544267,7.504616059938642,6.180953597521025,14.081546234242499,7.900592636721473,45.0,7.504616059938642,0
43002,Três Passos,RS,Sul,2016,2024,18,146839.0,12.258323742330035,20,143717.0,13.916238162499914,1.6579144201698792,13.166078733150824,14.30393756917478,1.1378588360239554,45.0,1.6579144201698792,0
43003,Frederico Westphalen,RS,Sul,2016,2024,29,177680.0,16.321476812246736,36,183477.0,19.62098791674161,3.299511104494872,15.382970301487457,17.278967085405892,1.8959967839184344,45.0,3.299511104494872,0
43004,Erechim,RS,Sul,2016,2024,40,219279.0,18.241600882893483,27,219837.0,12.281826989997134,-5.959773892896349,16.569630451636442,14.906954478464062,-1.6626759731723801,45.0,-5.959773892896349,0
43005,Sananduva,RS,Sul,2016,2024,2,62287.0,3.210942893380641,6,60124.0,9.979375956356863,6.7684330629762215,8.562422737513579,11.759073385017262,3.1966506475036827,45.0,6.7684330629762215,0
43006,Cerro Largo,RS,Sul,2016,2024,3,67208.0,4.463754314962505,10,64947.0,15.397170000153972,10.933415685191466,7.439442934513064,15.035449961763295,7.596007027250231,45.0,10.933415685191466,0
43007,Santo Ângelo,RS,Sul,2016,2024,31,200304.0,15.476475756849588,34,196292.0,17.32113382104212,1.844658064192533,14.477511598650096,15.644286740865283,1.1667751422151866,45.0,1.844658064192533,0
43008,Ijuí,RS,Sul,2016,2024,11,192484.0,5.714760707383471,21,197385.0,10.639106315069535,4.924345607686064,8.485906467992546,10.28269704860888,1.7967905806163333,45.0,4.924345607686064,0
43009,Carazinho,RS,Sul,2016,2024,40,166464.0,24.029219530949636,26,167049.0,15.564295506108985,-8.46492402484065,22.42790030798313,18.39548886011646,-4.0324114478666715,45.0,-8.46492402484065,0
43010,Passo Fundo,RS,Sul,2016,2024,56,350264.0,15.987940524861248,83,372720.0,22.26872719467697,6.280786669815722,18.368793988740787,18.274355351658603,-0.09443863708218458,45.0,6.280786669815722,0
43011,Cruz Alta,RS,Sul,2016,2024,23,153983.0,14.936713793081054,25,147375.0,16.963528413910094,2.0268146208290396,16.668145874417426,17.383269060983253,0.7151231865658261,45.0,2.0268146208290396,0
43012,Não-Me-Toque,RS,Sul,2016,2024,2,44184.0,4.526525439072968,6,45638.0,13.146938954380122,8.620413515307154,6.790044286177733,13.292274972861605,6.502230686683872,45.0,8.620413515307154,0
43013,Soledade,RS,Sul,2016,2024,13,74056.0,17.554283245111808,14,67809.0,20.646226902033654,3.0919436569218455,14.85395857996156,25.36385948421846,10.509900904256899,45.0,3.0919436569218455,0
43014,Guaporé,RS,Sul,2016,2024,18,136314.0,13.204806549584049,16,139701.0,11.453031832270348,-1.751774717313701,10.515992868689487,17.406819121390804,6.890826252701316,45.0,-1.751774717313701,0
43015,Vacaria,RS,Sul,2016,2024,45,164683.0,27.325224825877594,36,165391.0,21.766601568404568,-5.558623257473027,19.63455438670356,26.753175407909342,7.118621021205783,45.0,-5.558623257473027,0
43016,Caxias do Sul,RS,Sul,2016,2024,216,840752.0,25.691285896435573,139,865528.0,16.059561331349187,-9.631724565086387,23.196980030770696,18.278233461574516,-4.9187465691961805,45.0,-9.631724565086387,0
43017,Santiago,RS,Sul,2016,2024,19,114761.0,16.556147123151593,8,107349.0,7.4523283868503665,-9.103818736301227,13.361411662188658,11.305396442568586,-2.056015219620072,45.0,-9.103818736301227,0
43018,Santa Maria,RS,Sul,2016,2024,77,381843.0,20.16535591853196,80,377820.0,21.17410407072151,1.008748152189547,19.642592123757062,20.356863895084132,0.7142717713270699,45.0,1.008748152189547,0
43019,Restinga Seca,RS,Sul,2016,2024,8,64568.0,12.390038409119068,7,60488.0,11.572543314376405,-0.8174950947426627,6.711166865420455,10.568413792336232,3.857246926915777,45.0,-0.8174950947426627,0
43020,Santa Cruz do Sul,RS,Sul,2016,2024,75,340361.0,22.03542709064787,46,342213.0,13.441920675135076,-8.593506415512795,21.057703985488793,12.555225692539329,-8.502478292949464,45.0,-8.593506415512795,0
43021,Lajeado-Estrela,RS,Sul,2016,2024,63,327471.0,19.2383447694605,50,348208.0,14.359233561549418,-4.879111207911082,18.934978708329048,12.822810614372914,-6.112168093956134,45.0,-4.879111207911082,0
43022,Cachoeira do Sul,RS,Sul,2016,2024,27,157307.0,17.16388971883006,16,148644.0,10.763972982427815,-6.399916736402245,13.773345821166878,9.54022910178743,-4.2331167193794474,45.0,-6.399916736402245,0
43023,Montenegro,RS,Sul,2016,2024,36,219252.0,16.419462536259648,23,228057.0,10.085197998745928,-6.33426453751372,16.421484775915157,8.73967255853914,-7.681812217376017,45.0,-6.33426453751372,0
43024,Gramado-Canela,RS,Sul,2016,2024,31,321151.0,9.652780156375039,29,338956.0,8.55568274348293,-1.0970974128921096,11.93779474674747,9.876188509503587,-2.0616062372438826,45.0,-1.0970974128921096,0
43025,São Jerônimo,RS,Sul,2016,2024,27,153345.0,17.607355962046366,16,144909.0,11.041412196619948,-6.565943765426418,18.696017965568892,12.807615641125953,-5.888402324442939,45.0,-6.565943765426418,0
43026,Porto Alegre,RS,Sul,2016,2024,1833,3840273.0,47.73098162552506,589,3727767.0,15.800343744660006,-31.930637880865056,46.81420766497798,19.698377137861318,-27.11583052711666,45.0,-31.930637880865056,0
43027,Osório,RS,Sul,2016,2024,145,374061.0,38.763731049213895,79,434330.0,18.188934681002923,-20.574796368210972,35.11567674326162,21.048151153789487,-14.067525589472137,45.0,-20.574796368210972,0
43028,Camaquã,RS,Sul,2016,2024,23,137892.0,16.679720360862124,16,128325.0,12.468342100136372,-4.211378260725752,16.922559948168615,17.081281937069928,0.15872198890131273,45.0,-4.211378260725752,0
43029,Campanha Ocidental,RS,Sul,2016,2024,63,372500.0,16.91275167785235,46,353774.0,13.002651410222345,-3.9101002676300034,16.37556050501155,14.324390139089829,-2.0511703659217204,45.0,-3.9101002676300034,0
43030,Campanha Central,RS,Sul,2016,2024,19,188762.0,10.065585234316229,25,187756.0,13.31515371013443,3.249568475818201,11.30147025064542,15.860571160795551,4.559100910150132,45.0,3.249568475818201,0
43031,Campanha Meridional,RS,Sul,2016,2024,29,180911.0,16.029981593159068,35,177643.0,19.70243690998238,3.6724553168233136,14.372131331799078,13.529027863128158,-0.84310346867092,45.0,3.6724553168233136,0
43032,Serras de Sudeste,RS,Sul,2016,2024,32,120930.0,26.461589349210286,16,112615.0,14.207698796785508,-12.253890552424778,18.468493301725562,15.561500846904758,-2.906992454820804,45.0,-12.253890552424778,0
43033,Pelotas,RS,Sul,2016,2024,101,504900.0,20.00396118043177,45,491113.0,9.16286068582994,-10.841100494601829,23.305868061057414,8.061107327443214,-15.2447607336142,45.0,-10.841100494601829,0
43034,Jaguarão,RS,Sul,2016,2024,5,54143.0,9.234804129804408,1,51600.0,1.937984496124031,-7.296819633680377,9.23446301597562,6.5390249006068215,-2.695438115368799,45.0,-7.296819633680377,0
43035,Litoral Lagunar,RS,Sul,2016,2024,54,273501.0,19.743986310836156,51,263569.0,19.349771786515106,-0.3942145243210504,26.083056251645427,29.59206057880784,3.509004327162412,45.0,-0.3942145243210504,0
50001,Baixo Pantanal,MS,Centro-Oeste,2016,2024,34,148208.0,22.940731944294505,27,134261.0,20.110084089944213,-2.8306478543502926,25.64067961296069,20.384281454078742,-5.256398158881947,45.0,-2.8306478543502926,0
50002,Aquidauana,MS,Centro-Oeste,2016,2024,24,110540.0,21.71159761172426,14,111259.0,12.583251691997951,-9.12834591972631,19.299663462118378,17.67118195833257,-1.6284815037858067,45.0,-9.12834591972631,0
50003,Alto Taquari,MS,Centro-Oeste,2016,2024,36,125714.0,28.63642871915618,29,129550.0,22.385179467387108,-6.251249251769071,23.0689682602816,21.50419200620999,-1.5647762540716101,45.0,-6.251249251769071,0
50004,Campo Grande,MS,Centro-Oeste,2016,2024,194,966860.0,20.064952526736032,191,1052984.0,18.1389270872112,-1.9260254395248317,19.27306415172142,19.324559396786974,0.05149524506555281,45.0,-1.9260254395248317,0
50005,Cassilândia,MS,Centro-Oeste,2016,2024,11,70055.0,15.701948469060024,22,89280.0,24.6415770609319,8.939628591871877,15.702919791389089,23.91864574170949,8.215725950320401,45.0,8.939628591871877,0
50006,Paranaíba,MS,Centro-Oeste,2016,2024,10,80481.0,12.425292926280736,4,89294.0,4.479584294577463,-7.9457086317032735,20.295233519442004,10.699008240146883,-9.59622527929512,45.0,-7.9457086317032735,0
50007,Três Lagoas,MS,Centro-Oeste,2016,2024,48,173387.0,27.683736381620307,34,202092.0,16.824020743027926,-10.85971563859238,25.570579606213073,18.332692537830276,-7.237887068382797,45.0,-10.85971563859238,0
50008,Nova Andradina,MS,Centro-Oeste,2016,2024,20,97531.0,20.506300560847322,11,97032.0,11.33646632038915,-9.169834240458172,14.355048191947501,13.290244960199214,-1.0648032317482876,45.0,-9.169834240458172,0
50009,Bodoquena,MS,Centro-Oeste,2016,2024,15,109097.0,13.749232334527989,18,108746.0,16.552332959373217,2.8031006248452286,22.610470481114145,16.452320863715805,-6.15814961739834,45.0,2.8031006248452286,0
50010,Dourados,MS,Centro-Oeste,2016,2024,190,558403.0,34.02560516329604,106,636020.0,16.666142574132888,-17.359462589163154,33.609692963813764,19.47062551407036,-14.139067449743404,45.0,-17.359462589163154,0
50011,Iguatemi,MS,Centro-Oeste,2016,2024,89,242110.0,36.76015034488456,63,251377.0,25.061958731307957,-11.6981916135766,33.73224582408565,25.518057063236174,-8.214188760849478,45.0,-11.6981916135766,0
51001,Aripuanã,MT,Centro-Oeste,2016,2024,59,158779.0,37.15856630914668,70,148929.0,47.00226282322449,9.843696514077813,37.164964147358035,49.58750666544396,12.422542518085926,45.0,9.843696514077813,0
51002,Alta Floresta,MT,Centro-Oeste,2016,2024,53,103591.0,51.162745798380165,35,114907.0,30.4594150051781,-20.703330793202063,49.556405809040506,32.439621754010346,-17.11678405503016,45.0,-20.703330793202063,0
51003,Colíder,MT,Centro-Oeste,2016,2024,54,150531.0,35.87300954620643,58,151787.0,38.211441032499486,2.3384314862930538,35.210409880173884,43.494807807318004,8.28439792714412,45.0,2.3384314862930538,0
51004,Parecis,MT,Centro-Oeste,2016,2024,37,103492.0,35.75155567580103,29,132080.0,21.956390066626287,-13.795165609174742,39.936745348496416,25.52841208066978,-14.408333267826634,45.0,-13.795165609174742,0
51005,Arinos,MT,Centro-Oeste,2016,2024,19,79669.0,23.848673888212478,29,75241.0,38.54281575205008,14.694141863837604,28.45283524134699,44.54422350509586,16.09138826374887,45.0,14.694141863837604,0
51006,Alto Teles Pires,MT,Centro-Oeste,2016,2024,89,238340.0,37.341612822018966,138,337518.0,40.88670826444812,3.545095442429151,37.07086971058143,47.95630007882946,10.88543036824803,45.0,3.545095442429151,0
51007,Sinop,MT,Centro-Oeste,2016,2024,65,194473.0,33.423662924930454,74,279998.0,26.428760205430038,-6.994902719500416,38.057751781171355,25.598646610683538,-12.459105170487817,45.0,-6.994902719500416,0
51008,Paranatinga,MT,Centro-Oeste,2016,2024,18,35035.0,51.37719423433709,9,44549.0,20.202473680666234,-31.174720553670856,39.0104662226451,20.758372543592582,-18.252093679052518,45.0,-31.174720553670856,0
51009,Norte Araguaia,MT,Centro-Oeste,2016,2024,30,124904.0,24.01844616665599,29,135995.0,21.324313393874775,-2.6941327727812165,24.82257199213151,21.737500936961247,-3.085071055170264,45.0,-2.6941327727812165,0
