year,microrregion_code,microrregion_name,uf,macroregion,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,bubble_area_points2
2024,33003,Campos dos Goytacazes,RJ,Sudeste,162,659687.0,24.557100564358553,67.38351254480287,87.95826666666666
2024,23006,Ipu,CE,Nordeste,35,142347.0,24.587803044672526,67.56272401433692,18.9796
2024,50005,Cassilândia,MS,Centro-Oeste,22,89280.0,24.6415770609319,67.74193548387096,11.904
2024,33005,Três Rios,RJ,Sudeste,41,166336.0,24.648903424393996,67.92114695340501,22.178133333333335
2024,28011,Aracaju,SE,Nordeste,241,976043.0,24.69153510654756,68.10035842293907,130.13906666666668
2024,41035,Cerro Azul,PR,Sul,7,28340.0,24.700070571630203,68.27956989247312,3.7786666666666666
2024,25007,Serra do Teixeira,PB,Nordeste,29,117281.0,24.72693786717371,68.45878136200717,15.637466666666667
2024,52014,Vale do Rio dos Bois,GO,Centro-Oeste,33,133403.0,24.73707487837605,68.63799283154121,17.787066666666668
2024,25004,Patos,PB,Nordeste,33,133079.0,24.797300851373997,68.81720430107526,17.743866666666666
2024,24008,Macau,RN,Nordeste,14,56391.0,24.826656736003972,68.99641577060932,7.5188
2024,31064,Ubá,MG,Sudeste,71,285906.0,24.833336830986408,69.17562724014337,38.1208
2024,41024,Foz do Iguaçu,PR,Sul,119,479089.0,24.838808655594264,69.35483870967742,63.87853333333333
2024,27008,Serrana dos Quilombos,AL,Nordeste,35,140846.0,24.849835991082458,69.53405017921148,18.779466666666668
2024,52001,São Miguel do Araguaia,GO,Centro-Oeste,20,80483.0,24.849968316290397,69.71326164874552,10.731066666666667
2024,41021,Ponta Grossa,PR,Sul,126,506818.0,24.86099546582797,69.89247311827957,67.57573333333333
2024,29016,Serrinha,BA,Nordeste,111,443438.0,25.03168424898182,70.07168458781362,59.12506666666667
2024,50011,Iguatemi,MS,Centro-Oeste,63,251377.0,25.061958731307957,70.25089605734767,33.516933333333334
2024,21011,Alto Mearim e Grajaú,MA,Nordeste,83,328332.0,25.27929047427604,70.43010752688173,43.7776
