microrregion_code,microrregion_name,uf,macroregion,year,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,population_status,homicide_definition,sim_status
23006,Ipu,CE,Nordeste,2015,13,139462.0,9.321535615436463,15.770609318996415,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23007,Santa Quitéria,CE,Nordeste,2015,12,73708.0,16.280458023552395,37.45519713261649,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23008,Itapipoca,CE,Nordeste,2015,54,221466.0,24.382975264826204,57.70609318996416,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23009,Baixo Curu,CE,Nordeste,2015,55,112709.0,48.79823261673868,91.93548387096774,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23010,Uruburetama,CE,Nordeste,2015,29,107434.0,26.993316827075226,62.365591397849464,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23011,Médio Curu,CE,Nordeste,2015,19,89371.0,21.259692741493325,50.0,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23012,Canindé,CE,Nordeste,2015,34,130632.0,26.027313368852962,61.29032258064516,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23013,Baturité,CE,Nordeste,2015,90,194349.0,46.308445116774465,89.24731182795699,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23014,Chorozinho,CE,Nordeste,2015,39,65002.0,59.99815390295683,96.23655913978494,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23015,Cascavel,CE,Nordeste,2015,51,142564.0,35.77340703122808,76.70250896057348,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23016,Fortaleza,CE,Nordeste,2015,2346,3563797.0,65.82866532521354,97.84946236559139,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23017,Pacajus,CE,Nordeste,2015,94,132165.0,71.12321719063291,98.9247311827957,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23018,Sertão de Cratéus,CE,Nordeste,2015,75,245891.0,30.501319690431938,70.07168458781362,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23019,Sertão de Quixeramobim,CE,Nordeste,2015,116,280176.0,41.402546970475704,85.48387096774194,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23020,Sertão de Inhamuns,CE,Nordeste,2015,37,149594.0,24.73361231065417,58.064516129032256,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23021,Sertão de Senador Pompeu,CE,Nordeste,2015,98,223216.0,43.903662819869545,87.99283154121864,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23022,Litoral de Aracati,CE,Nordeste,2015,25,115752.0,21.59789895638952,51.25448028673835,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23023,Baixo Jaguaribe,CE,Nordeste,2015,240,326336.0,73.54383212394588,99.46236559139786,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23024,Médio Jaguaribe,CE,Nordeste,2015,39,63660.0,61.262959472196044,96.59498207885305,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23025,Serra do Pereiro,CE,Nordeste,2015,8,43608.0,18.3452577508714,42.65232974910394,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23026,Iguatu,CE,Nordeste,2015,78,229940.0,33.92189266765243,74.37275985663082,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23027,Várzea Alegre,CE,Nordeste,2015,15,99477.0,15.078862450616725,33.51254480286738,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23028,Lavras da Mangabeira,CE,Nordeste,2015,9,57551.0,15.638303417838092,35.842293906810035,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23029,Chapada do Araripe,CE,Nordeste,2015,38,98489.0,38.58298896323447,81.00358422939068,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23030,Caririaçu,CE,Nordeste,2015,15,57557.0,26.06112201817329,61.46953405017921,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23031,Barro,CE,Nordeste,2015,27,92994.0,29.03413123427318,66.66666666666667,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
