crime,year,uf,reporting_status,months_present,months_numeric,count_reported,measurement_concept,value_field,raw_labels,definition_version_flag,comparability_class
Homicídio doloso,2020,BA,FULL_12_MONTHS,12,12,5248,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,CE,FULL_12_MONTHS,12,12,3934,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,DF,FULL_12_MONTHS,12,12,357,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,ES,FULL_12_MONTHS,12,12,1081,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,GO,FULL_12_MONTHS,12,12,1470,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,MA,FULL_12_MONTHS,12,12,1796,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,MG,FULL_12_MONTHS,12,12,2563,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,MS,FULL_12_MONTHS,12,12,472,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,MT,FULL_12_MONTHS,12,12,751,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,PA,FULL_12_MONTHS,12,12,2205,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,PB,FULL_12_MONTHS,12,12,1050,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,PE,FULL_12_MONTHS,12,12,3432,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,PI,FULL_12_MONTHS,12,12,603,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,PR,FULL_12_MONTHS,12,12,1929,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,RJ,FULL_12_MONTHS,12,12,3830,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,RN,FULL_12_MONTHS,12,12,1222,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,RO,FULL_12_MONTHS,12,12,375,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,RR,FULL_12_MONTHS,12,12,167,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,RS,FULL_12_MONTHS,12,12,1833,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,SC,FULL_12_MONTHS,12,12,626,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,SE,FULL_12_MONTHS,12,12,747,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,SP,FULL_12_MONTHS,12,12,2858,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,TO,FULL_12_MONTHS,12,12,415,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,AC,FULL_12_MONTHS,12,12,163,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,AL,FULL_12_MONTHS,12,12,1020,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
