iso3,country,region,subregion,year,homicide_rate_per_100k,percentile_unweighted,included_common_sample,inclusion_reason
AFG,Afghanistan,Asia,Southern Asia,2024,,,0,MISSING_2024
AGO,Angola,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
AIA,Anguilla,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
ALB,Albania,Europe,Southern Europe,2024,1.75516237132466,41.86046511627907,1,INCLUDED_OBSERVED_BOTH_YEARS
AND,Andorra,Europe,Southern Europe,2024,,,0,MISSING_2016_AND_2024
ARE,United Arab Emirates,Asia,Western Asia,2024,,,0,MISSING_2016_AND_2024
ARG,Argentina,Americas,Latin America and the Caribbean,2024,3.94343865969129,63.95348837209303,1,INCLUDED_OBSERVED_BOTH_YEARS
ARM,Armenia,Asia,Western Asia,2024,2.18572583163085,48.83720930232558,1,INCLUDED_OBSERVED_BOTH_YEARS
ASM,American Samoa,Oceania,Polynesia,2024,,,0,MISSING_2024
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,2024,12.7970652063793,,0,MISSING_2016
AUS,Australia,Oceania,Australia and New Zealand,2024,0.943353670965352,26.74418604651163,1,INCLUDED_OBSERVED_BOTH_YEARS
AUT,Austria,Europe,Western Europe,2024,0.986754141324902,30.232558139534884,1,INCLUDED_OBSERVED_BOTH_YEARS
AZE,Azerbaijan,Asia,Western Asia,2024,1.9929227057989,45.348837209302324,1,INCLUDED_OBSERVED_BOTH_YEARS
BDI,Burundi,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
BEL,Belgium,Europe,Western Europe,2024,,,0,MISSING_2016_AND_2024
BGD,Bangladesh,Asia,Southern Asia,2024,,,0,MISSING_2024
BGR,Bulgaria,Europe,Eastern Europe,2024,1.16903879188868,34.883720930232556,1,INCLUDED_OBSERVED_BOTH_YEARS
BHR,Bahrain,Asia,Western Asia,2024,,,0,MISSING_2024
BHS,Bahamas,Americas,Latin America and the Caribbean,2024,29.9040826548845,90.69767441860465,1,INCLUDED_OBSERVED_BOTH_YEARS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,2024,0.979694101577845,29.069767441860463,1,INCLUDED_OBSERVED_BOTH_YEARS
BLR,Belarus,Europe,Eastern Europe,2024,1.53477603753068,39.53488372093023,1,INCLUDED_OBSERVED_BOTH_YEARS
BLZ,Belize,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2024
BMU,Bermuda,Americas,Northern America,2024,,,0,MISSING_2024
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2024,3.64930721567929,61.627906976744185,1,INCLUDED_OBSERVED_BOTH_YEARS
BRA,Brazil,Americas,Latin America and the Caribbean,2024,18.6911635044563,86.04651162790698,1,INCLUDED_OBSERVED_BOTH_YEARS
BRB,Barbados,Americas,Latin America and the Caribbean,2024,7.43448361315904,73.25581395348837,1,INCLUDED_OBSERVED_BOTH_YEARS
BRN,Brunei Darussalam,Asia,South-eastern Asia,2024,,,0,MISSING_2016_AND_2024
BTN,Bhutan,Asia,Southern Asia,2024,,,0,MISSING_2024
BWA,Botswana,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
CAN,Canada,Americas,Northern America,2024,1.98276753585526,44.18604651162791,1,INCLUDED_OBSERVED_BOTH_YEARS
CHE,Switzerland,Europe,Western Europe,2024,0.504372291310641,5.813953488372093,1,INCLUDED_OBSERVED_BOTH_YEARS
CHL,Chile,Americas,Latin America and the Caribbean,2024,6.10682496379986,70.93023255813954,1,INCLUDED_OBSERVED_BOTH_YEARS
CHN,China,Asia,Eastern Asia,2024,,,0,MISSING_2024
CMR,Cameroon,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
COK,Cook Islands,Oceania,Polynesia,2024,,,0,MISSING_2016_AND_2024
