microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,rate_2016_per_100k,rate_2024_per_100k,delta_rate_2016_2024_per_100k,population_2016,population_2024,bubble_area_points2,population_weighted_fitted_delta,rate_average_2015_2017_per_100k,delta_average_2015_2017_to_2022_2024_per_100k
23032,Cariri,CE,Northeast,2016,2024,43.53136284888977,30.311552763976124,-13.219810084913647,567407.0,640020.0,75.65426666666667,-16.68350084770458,42.24290433774112,-14.95249667523678
23033,Brejo Santo,CE,Northeast,2016,2024,29.540408419969317,17.53932501292371,-12.001083407045606,104941.0,108328.0,13.992133333333333,-9.728821811789214,25.730540881382208,-10.963831328420776
24001,Mossoró,RN,Northeast,2016,2024,71.08216561876354,34.667909164531125,-36.414256454232415,372808.0,360564.0,49.70773333333333,-30.378562998018843,72.76198785035702,-29.8027593753907
24002,Chapada do Apodi,RN,Northeast,2016,2024,56.55736626813453,47.214353163361665,-9.343013104772865,76029.0,76248.0,10.1372,-23.158518214234128,50.858901623100465,2.0476227739207644
24003,Médio Oeste,RN,Northeast,2016,2024,19.33207674834469,27.208192139305943,7.876115390961253,41382.0,40429.0,5.5176,-4.654423876394269,33.831951861965635,-6.232247931516888
24004,Vale do Açu,RN,Northeast,2016,2024,35.1228649851053,20.957132523441565,-14.165732461663737,153746.0,147921.0,20.499466666666667,-12.503771429394037,34.93984270560253,1.2512094003502128
24005,Serra de São Miguel,RN,Northeast,2016,2024,25.363291856891355,13.676148796498905,-11.687143060392449,67026.0,65808.0,8.9368,-7.65244416797648,28.348759368767624,-4.194728600643749
24006,Pau dos Ferros,RN,Northeast,2016,2024,24.33498363682135,32.30268443590402,7.967700799082671,119170.0,120733.0,15.889333333333333,-7.141288645534246,21.81769359007351,6.531273777738903
24007,Umarizal,RN,Northeast,2016,2024,54.65449496292357,37.89553464283458,-16.75896032008899,67698.0,63332.0,9.0264,-22.21263140989717,59.086813300441676,-21.234076440939305
24008,Macau,RN,Northeast,2016,2024,28.961804490783333,24.826656736003972,-4.135147754779361,58698.0,56391.0,7.8264,-9.441207079223858,32.37201694703484,-8.295067015052219
24009,Angicos,RN,Northeast,2016,2024,16.897283292341776,29.43773918163085,12.540455889289074,53263.0,50955.0,7.101733333333334,-3.4441271027699436,24.407797978533655,4.082796812325501
24010,Serra de Santana,RN,Northeast,2016,2024,21.851100358982364,15.216762785884931,-6.634337573097433,64070.0,65717.0,8.542666666666667,-5.906590108861188,18.20934503587241,-5.849265004354205
24011,Seridó Ocidental,RN,Northeast,2016,2024,40.89785048506753,17.03475089181931,-23.86309959324822,105140.0,99796.0,14.018666666666666,-15.374424092394781,40.58351484944467,-17.15560405885454
24012,Seridó Oriental,RN,Northeast,2016,2024,23.983499352445516,10.613891134135091,-13.369608218310425,125086.0,122481.0,16.678133333333335,-6.966571445473226,24.516923339311553,-7.924163590028154
24013,Baixa Verde,RN,Northeast,2016,2024,67.8996855949341,9.375732479099929,-58.52395311583417,67747.0,63995.0,9.032933333333334,-28.796603224195614,58.55377105967564,-43.720709224349115
24014,Borborema Potiguar,RN,Northeast,2016,2024,36.9510503161755,24.45332009396003,-12.497730222215466,143433.0,134951.0,19.1244,-13.412533033926183,40.90388284756099,-15.078861159557341
24015,Agreste Potiguar,RN,Northeast,2016,2024,34.01973144423766,19.734732306579065,-14.284999137658591,249855.0,243226.0,33.314,-11.955421440158938,38.55847345802797,-9.462562756022997
24016,Litoral Nordeste,RN,Northeast,2016,2024,41.576857008435724,28.39295854628052,-13.183898462155202,91397.0,91572.0,12.186266666666667,-15.711947344100702,40.1210927526717,-10.093734492923929
24017,Macaíba,RN,Northeast,2016,2024,93.52827681892369,26.043673646194037,-67.48460317272965,322897.0,376291.0,43.052933333333335,-41.536164846745905,96.42863042436856,-59.94361998610716
24018,Natal,RN,Northeast,2016,2024,62.29325829262756,18.543960330189478,-43.749297962438085,1154218.0,1121659.0,153.89573333333334,-26.009738137626726,60.53777531185186,-37.52625278722877
24019,Litoral Sul,RN,Northeast,2016,2024,31.83924717868893,30.555131178733628,-1.2841159999553007,141335.0,144002.0,18.844666666666665,-10.871537686066462,32.78518392724048,-2.819243639685432
25001,Catolé do Rocha,PB,Northeast,2016,2024,43.21274531386314,38.49398429117833,-4.718761022684809,122649.0,122097.0,16.3532,-16.525121181572274,42.67255203605151,15.118951223750464
25002,Cajazeiras,PB,Northeast,2016,2024,17.552998731654284,16.749483557590306,-0.8035151740639783,176608.0,179110.0,23.547733333333333,-3.770072730173764,18.12059254337617,0.8034793491729495
25003,Sousa,PB,Northeast,2016,2024,24.857203300190395,15.287053973843323,-9.570149326347073,189080.0,189703.0,25.21066666666667,-7.400875663948668,24.329570477300333,-4.499625652781948
25004,Patos,PB,Northeast,2016,2024,23.12397433984783,24.797300851373997,1.6733265115261666,134060.0,133079.0,17.874666666666666,-6.539315348233599,31.352564565132464,1.079812651505602
25005,Piancó,PB,Northeast,2016,2024,16.84068710003368,8.680932332132471,-8.159754767901209,71256.0,69117.0,9.5008,-3.4159940433594915,18.711611958591202,0.29284677980511375
25006,Itaporanga,PB,Northeast,2016,2024,24.430820061193387,14.37504492201538,-10.055775139178007,85957.0,83478.0,11.460933333333333,-7.188927394902164,20.94135257869489,0.4651343946499935
25007,Serra do Teixeira,PB,Northeast,2016,2024,16.43034355848381,24.72693786717371,8.296594308689901,121726.0,117281.0,16.230133333333335,-3.2120188506420373,17.800806239593374,7.8113310357068855
25008,Seridó Ocidental Paraibano,PB,Northeast,2016,2024,9.747538746466518,17.28395061728395,7.536411870817432,41036.0,40500.0,5.471466666666666,0.10989623123255665,21.12138296316756,-6.099413332582829
25009,Seridó Oriental Paraibano,PB,Northeast,2016,2024,24.12238938614867,18.164597200057088,-5.957792186091581,78765.0,77073.0,10.502,-7.035611453472697,25.817701632017336,-6.0777426911319345
25010,Cariri Ocidental,PB,Northeast,2016,2024,23.49072116513977,23.212627669452182,-0.2780934956875889,127710.0,129240.0,17.028,-6.721619312577452,21.9109476484858,3.0034255845606275
25011,Cariri Oriental,PB,Northeast,2016,2024,22.500225002250023,10.225546336332826,-12.274678665917197,66666.0,68456.0,8.8888,-6.2292595572655,30.501830109806587,-17.144750857803025
25012,Curimataú Ocidental,PB,Northeast,2016,2024,31.34575147520943,10.673760612181225,-20.671990863028206,127609.0,121794.0,17.014533333333333,-10.626228887389459,28.2138294787495,-14.355832375070895
25013,Curimataú Oriental,PB,Northeast,2016,2024,28.048451102200247,13.309966946915415,-14.738484155284832,96262.0,90158.0,12.834933333333334,-8.987193759672849,19.39179034704379,-5.938196836160396
25014,Esperança,PB,Northeast,2016,2024,24.414914024624185,3.4865679967923575,-20.92834602783183,57342.0,57363.0,7.6456,-7.181020759251657,27.90551657180729,-22.57568908055709
25015,Brejo Paraibano,PB,Northeast,2016,2024,24.12940253875785,11.172896272549913,-12.956506266207938,116041.0,116353.0,15.472133333333334,-7.039097579145862,27.57598476426842,-14.80459268253151
25016,Guarabira,PB,Northeast,2016,2024,25.15855742001919,17.039478709465136,-8.119078710554053,170916.0,170193.0,22.7888,-7.5506739632861155,24.769516721374142,-2.1054107010718752
