section,claim,value,display,source,calculation
4.7,2025 total composition: Segurança privada,14.517326895211095,"14,5",fig_13_total_costs.csv,100 * component / seven-component total
4.7,2025 total composition: Perda de capacidade produtiva,6.636532978180457,"6,6",fig_13_total_costs.csv,100 * component / seven-component total
4.7,2025 total composition: Encarceramento e auxílio-reclusão,3.0330403475575847,"3,0",fig_13_total_costs.csv,100 * component / seven-component total
4.7,2025 total composition: Serviços médico-terapêuticos,0.027305925142917735,"0,0",fig_13_total_costs.csv,100 * component / seven-component total
4.7,"Cumulative measured cost, 1996--2025, R$ trillion",9.999656605014636,"10,0",fig_13_total_costs.csv,Sum of annual reported totals / 1e12
4.4,"Average modeled productive loss per homicide, 2025, R$ thousand",715.369491974642,"715,4",fig_10_productive_capacity.csv,"Reported productive loss / homicide count / 1,000"
4.6,"Medical costs, 2025, R$ million",120.01624184,"120,0",fig_12_medical_costs.csv,Reported total / 1e6
4.6,"Medical costs GDP share, 2025",0.0009450097782677166,"0,001",fig_12_medical_costs.csv,100 * reported total / GDP
4.6,"Medical share of total measured costs, 2025",0.027305925142917735,"0,03",fig_13_total_costs.csv,100 * component / accounting total
4.6,"Violent-injury admissions, 1998, thousands",42.521,"42,5",fig_12_medical_costs.csv,"SIH/SUS admissions / 1,000"
4.6,"Violent-injury admissions, 2015, thousands",57.47,"57,5",fig_12_medical_costs.csv,"SIH/SUS admissions / 1,000"
4.6,"Violent-injury admissions, 2025, thousands",52.768,"52,8",fig_12_medical_costs.csv,"SIH/SUS admissions / 1,000"
5.1,"State burden first quartile, 2025",3.167757238507132,"3,2",fig_14_state_costs.csv,Unweighted cross-state quantile 0.25
5.1,"State burden median, 2025",4.857516920310012,"4,9",fig_14_state_costs.csv,Unweighted cross-state quantile 0.5
5.1,"State burden third quartile, 2025",6.362173094264925,"6,4",fig_14_state_costs.csv,Unweighted cross-state quantile 0.75
5.1,"GDP per capita versus state burden correlation, 2025",-0.744440275535617,"-0,74",fig_14_state_costs.csv,Pearson correlation across 27 UFs
5.1,"Log GDP per capita versus state burden correlation, 2025",-0.7803469594466268,"-0,78",fig_14_state_costs.csv,Pearson correlation across 27 UFs
5.1,"State burden, 2025: AP",9.860543670220816,"9,9",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: AC",9.033865268628178,"9,0",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: RR",7.0259776704421215,"7,0",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: PI",6.9556631556556825,"7,0",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: SE",6.580734331943031,"6,6",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: CE",6.559437275927571,"6,6",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: PB",6.367179168313025,"6,4",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: RO",6.357167020216825,"6,4",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: MA",5.871492783772752,"5,9",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: PE",5.837248577396343,"5,8",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: AL",5.744075975947243,"5,7",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: BA",5.36207894185262,"5,4",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: PA",5.094988905480915,"5,1",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: RN",4.857516920310012,"4,9",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: AM",4.415300773600529,"4,4",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: TO",4.010855102978894,"4,0",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: RJ",3.9573193567335503,"4,0",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: ES",3.705820737267214,"3,7",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: GO",3.481296239215523,"3,5",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: RS",3.2457300723388767,"3,2",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: MG",3.089784404675388,"3,1",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: MT",2.980692488133124,"3,0",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: PR",2.8312812826984133,"2,8",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: MS",2.601449574012911,"2,6",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: SP",2.1609210088903,"2,2",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: DF",1.9473429428795825,"1,9",fig_14_state_costs.csv,UF total / state GDP * 100
5.1,"State burden, 2025: SC",1.873476629006756,"1,9",fig_14_state_costs.csv,UF total / state GDP * 100
5.2,State trajectories: income_up_burden_down,19,19,fig_15_state_trajectories.csv,Count from each UF's 2016 and 2025 endpoints
5.2,State trajectories: income_up_burden_up,8,8,fig_15_state_trajectories.csv,Count from each UF's 2016 and 2025 endpoints
5.2,State trajectories: income_down_burden_down,0,0,fig_15_state_trajectories.csv,Count from each UF's 2016 and 2025 endpoints
5.2,State trajectories: income_down_burden_up,0,0,fig_15_state_trajectories.csv,Count from each UF's 2016 and 2025 endpoints
5.2,"Median state burden change, 2016--2025",-0.3731892504564691,"-0,4",fig_15_state_trajectories.csv,Median UF-level end minus start burden
5.2,"Median real GDP per capita growth, 2016--2025",24.423590526478623,"24,4",fig_15_state_trajectories.csv,Median UF-level growth
5.2,Initial GDP per capita versus burden change correlation,-0.14563752675408997,"-0,15",fig_15_state_trajectories.csv,Pearson correlation across UFs between 2016 real GDP per capita and 2016--2025 burden change
